code,level,preferred,term,codeReference,obs,seeAlso,excludes,other,description,type
80770/0,Synonym,0,"Oesophageal squamous intraepithelial neoplasia, low-grade",C15._,,,,,"Oesophageal squamous intraepithelial neoplasia, low-grade (C15._)",Morphology
80770/0,Related,0,"Low-grade squamous intraepithelial lesion, HPV-associated",,,,,,"Low-grade squamous intraepithelial lesion, HPV-associated",Morphology
80770/0,Related,0,"Anal intraepithelial neoplasia, low-grade",C21.1,,,,,"Anal intraepithelial neoplasia, low-grade (C21.1)",Morphology
80770/0,Related,0,"Cervical intraepithelial neoplasia, low-grade",C53._,,,,,"Cervical intraepithelial neoplasia, low-grade (C53._)",Morphology
80770/0,Related,0,"Penile intraepithelial neoplasia, HPV-associated, low-grade",C60._,,,,,"Penile intraepithelial neoplasia, HPV-associated, low-grade (C60._)",Morphology
80771/0,Preferred,1,"Squamous intraepithelial neoplasia, grade 1",,,,,,"Squamous intraepithelial neoplasia, grade 1",Morphology
80771/0,Synonym,0,"Squamous intraepithelial neoplasia, mild dysplasia",,,,,,"Squamous intraepithelial neoplasia, mild dysplasia",Morphology
80771/0,Synonym,0,Mild squamous dysplasia,,,,,,Mild squamous dysplasia,Morphology
80771/0,Related,0,"Vaginal intraepithelial neoplasia, grade 1",C52.9,,,,,"Vaginal intraepithelial neoplasia, grade 1 (C52.9)",Morphology
80771/0,Synonym,0,VAIN 1,C52.9,,,,,VAIN 1 (C52.9),Morphology
80771/0,Related,0,"Vulvar intraepithelial neoplasia, grade 1",C51._,,,,,"Vulvar intraepithelial neoplasia, grade 1 (C51._)",Morphology
80771/0,Synonym,0,VIN 1,C51._,,,,,VIN 1 (C51._),Morphology
80771/0,Related,0,"Anal intraepithelial neoplasia, grade 1",C21.1,,,,,"Anal intraepithelial neoplasia, grade 1 (C21.1)",Morphology
80771/0,Synonym,0,AIN 1,C21.1,,,,,AIN 1 (C21.1),Morphology
80771/0,Related,0,"Conjunctival squamous intraepithelial neoplasia, mild dysplasia",C69.0,,,,,"Conjunctival squamous intraepithelial neoplasia, mild dysplasia (C69.0)",Morphology
80771/0,Related,0,"Cervical intraepithelial neoplasia, grade 1",C53._,,,,,"Cervical intraepithelial neoplasia, grade 1 (C53._)",Morphology
80771/0,Synonym,0,CIN 1,C53._,,,,,CIN 1 (C53._),Morphology
80770/2,Preferred,1,High-grade squamous intraepithelial lesion,,,,,,High-grade squamous intraepithelial lesion,Morphology
80770/2,Synonym,0,"Squamous intraepithelial neoplasia, high-grade",,,,,,"Squamous intraepithelial neoplasia, high-grade",Morphology
80770/2,Synonym,0,"Squamous dysplasia, high-grade",,,,,,"Squamous dysplasia, high-grade",Morphology
80770/2,Related,0,"Oesophageal squamous dysplasia, high-grade",C15._,,,,,"Oesophageal squamous dysplasia, high-grade (C15._)",Morphology
80770/2,Synonym,0,"Oesophageal squamous intraepithelial neoplasia, high-grade",C15._,,,,,"Oesophageal squamous intraepithelial neoplasia, high-grade (C15._)",Morphology
80770/2,Related,0,"High-grade squamous intraepithelial lesion, HPV-associated",,,,,,"High-grade squamous intraepithelial lesion, HPV-associated",Morphology
80770/2,Related,0,"Anal intraepithelial neoplasia, high-grade",C21.1,,,,,"Anal intraepithelial neoplasia, high-grade (C21.1)",Morphology
80770/2,Related,0,"Cervical intraepithelial neoplasia, high-grade",C53._,,,,,"Cervical intraepithelial neoplasia, high-grade (C53._)",Morphology
80770/2,Related,0,"Penile intraepithelial neoplasia, HPV-associated, high-grade",C60._,,,,,"Penile intraepithelial neoplasia, HPV-associated, high-grade (C60._)",Morphology
80771/2,Preferred,1,"Squamous intraepithelial neoplasia, grade 2",,,,,,"Squamous intraepithelial neoplasia, grade 2",Morphology
80771/2,Synonym,0,"Squamous intraepithelial neoplasia, moderate dysplasia",,,,,,"Squamous intraepithelial neoplasia, moderate dysplasia",Morphology
80771/2,Synonym,0,Moderate squamous dysplasia,,,,,,Moderate squamous dysplasia,Morphology
80771/2,Related,0,"Vaginal intraepithelial neoplasia, grade 2",C52.9,,,,,"Vaginal intraepithelial neoplasia, grade 2 (C52.9)",Morphology
80771/2,Synonym,0,VAIN 2,C52.9,,,,,VAIN 2 (C52.9),Morphology
80771/2,Related,0,"Vulvar intraepithelial neoplasia, grade 2",C51._,,,,,"Vulvar intraepithelial neoplasia, grade 2 (C51._)",Morphology
80771/2,Synonym,0,VIN 2,C51._,,,,,VIN 2 (C51._),Morphology
80771/2,Related,0,"Anal intraepithelial neoplasia, grade 2",C21.1,,,,,"Anal intraepithelial neoplasia, grade 2 (C21.1)",Morphology
80771/2,Synonym,0,AIN 2,C21.1,,,,,AIN 2 (C21.1),Morphology
80771/2,Related,0,"Conjunctival squamous intraepithelial neoplasia, moderate dysplasia",C69.0,,,,,"Conjunctival squamous intraepithelial neoplasia, moderate dysplasia (C69.0)",Morphology
80771/2,Related,0,"Cervical intraepithelial neoplasia, grade 2",C53._,,,,,"Cervical intraepithelial neoplasia, grade 2 (C53._)",Morphology
80771/2,Synonym,0,CIN 2,C53._,,,,,CIN 2 (C53._),Morphology
80772/2,Preferred,1,"Squamous intraepithelial neoplasia, grade 3",,,,,,"Squamous intraepithelial neoplasia, grade 3",Morphology
80772/2,Synonym,0,"Squamous intraepithelial neoplasia, severe dysplasia",,,,,,"Squamous intraepithelial neoplasia, severe dysplasia",Morphology
80772/2,Synonym,0,Severe squamous dysplasia,,,,,,Severe squamous dysplasia,Morphology
80772/2,Related,0,"Vaginal intraepithelial neoplasia, grade 3",C52._,,,,,"Vaginal intraepithelial neoplasia, grade 3 (C52._)",Morphology
80772/2,Synonym,0,VAIN 3,C52._,,,,,VAIN 3 (C52._),Morphology
80772/2,Related,0,"Vulvar intraepithelial neoplasia, grade 3",C51._,,,,,"Vulvar intraepithelial neoplasia, grade 3 (C51._)",Morphology
80772/2,Synonym,0,VIN 3,C51._,,,,,VIN 3 (C51._),Morphology
80772/2,Related,0,"Anal intraepithelial neoplasia, grade 3",C21.1,,,,,"Anal intraepithelial neoplasia, grade 3 (C21.1)",Morphology
80772/2,Synonym,0,AIN 3,C21.1,,,,,AIN 3 (C21.1),Morphology
80772/2,Related,0,"Conjunctival squamous intraepithelial neoplasia, severe dysplasia",C69.0,,,,,"Conjunctival squamous intraepithelial neoplasia, severe dysplasia (C69.0)",Morphology
80772/2,Related,0,"Cervical intraepithelial neoplasia, grade 3",C53._,,,,,"Cervical intraepithelial neoplasia, grade 3 (C53._)",Morphology
80772/2,Synonym,0,"CIN 3, NOS",C53._,,,,,"CIN 3, NOS (C53._)",Morphology
80772/2,Synonym,0,CIN 3 with severe dysplasia,C53._,,,,,CIN 3 with severe dysplasia (C53._),Morphology
80780/3,Preferred,1,Squamous cell carcinoma with horn formation,,,,,,Squamous cell carcinoma with horn formation,Morphology
80800/2,Preferred,1,Queyrat erythroplasia,C60._,[obs],,,,Queyrat erythroplasia (C60._) [obs],Morphology
80820/3,Preferred,1,"Lymphoepithelial carcinoma, NOS",,,,(except of salivary gland M-80822/3),,"Lymphoepithelial carcinoma, NOS (except of salivary gland M-80822/3)",Morphology
80820/3,Synonym,0,Lymphoepithelioma,,,,,,Lymphoepithelioma,Morphology
80820/3,Synonym,0,"Lymphoepithelioma-like carcinoma, NOS",,,,,,"Lymphoepithelioma-like carcinoma, NOS",Morphology
80820/3,Related,0,Schmincke tumour,C11._,[obs],,,,Schmincke tumour (C11._) [obs],Morphology
80821/3,Preferred,1,Lymphoepithelioma-like urothelial carcinoma,,,,,,Lymphoepithelioma-like urothelial carcinoma,Morphology
80822/3,Preferred,1,Lymphoepithelial carcinoma of salivary gland,"C06.3, C07.9, C08._",,,,,"Lymphoepithelial carcinoma of salivary gland (C06.3, C07.9, C08._)",Morphology
80830/2,Preferred,1,"Basaloid squamous cell carcinoma, in situ",,,,,,"Basaloid squamous cell carcinoma, in situ",Morphology
80830/3,Preferred,1,"Basaloid squamous cell carcinoma, NOS",,,,,,"Basaloid squamous cell carcinoma, NOS",Morphology
80831/3,Preferred,1,Papillary-basaloid carcinoma,,,,,,Papillary-basaloid carcinoma,Morphology
80840/0,Preferred,1,Clear cell acanthoma,,,,,,Clear cell acanthoma,Morphology
80840/3,Preferred,1,"Squamous cell carcinoma, clear cell, NOS",,,,,,"Squamous cell carcinoma, clear cell, NOS",Morphology
80840/3,Synonym,0,"Squamous cell carcinoma, clear cell type",,,,,,"Squamous cell carcinoma, clear cell type",Morphology
80841/3,Preferred,1,"Clear cell squamous carcinoma, HPV-associated",,,,,,"Clear cell squamous carcinoma, HPV-associated",Morphology
80850/0,Preferred,1,"HPV-associated oral epithelial dysplasia, low-grade",,,,,,"HPV-associated oral epithelial dysplasia, low-grade",Morphology
80850/2,Preferred,1,"Squamous cell carcinoma in situ, HPV-associated",,,,,,"Squamous cell carcinoma in situ, HPV-associated",Morphology
80850/2,Related,0,"HPV-associated oral epithelial dysplasia, high-grade",,,,,,"HPV-associated oral epithelial dysplasia, high-grade",Morphology
80850/3,Preferred,1,"Squamous cell carcinoma, HPV-associated",,,,,,"Squamous cell carcinoma, HPV-associated",Morphology
80850/3,Synonym,0,"Squamous cell carcinoma, HPV-positive",,,,,,"Squamous cell carcinoma, HPV-positive",Morphology
80850/3,Synonym,0,"Squamous cell carcinoma, p16-positive ",,,,,,"Squamous cell carcinoma, p16-positive ",Morphology
80850/3,Synonym,0,"Squamous cell carcinoma, HPV-related",,,,,,"Squamous cell carcinoma, HPV-related",Morphology
80851/3,Preferred,1,"Adenosquamous carcinoma, HPV-associated, NOS",,,,,,"Adenosquamous carcinoma, HPV-associated, NOS",Morphology
80852/3,Preferred,1,"Ciliated adenosquamous carcinoma, HPV-associated",,,,,,"Ciliated adenosquamous carcinoma, HPV-associated",Morphology
80853/3,Preferred,1,"Keratinizing squamous cell carcinoma, HPV-associated",,,,,,"Keratinizing squamous cell carcinoma, HPV-associated",Morphology
80854/3,Preferred,1,"Papillary squamous cell carcinoma, HPV-associated",,,,,,"Papillary squamous cell carcinoma, HPV-associated",Morphology
80855/3,Preferred,1,"Non-keratinizing squamous cell carcinoma, HPV-associated",,,,,,"Non-keratinizing squamous cell carcinoma, HPV-associated",Morphology
80855/3,Related,0,"Transitional cell carcinoma of head and neck, HPV-associated",,,,,,"Transitional cell carcinoma of head and neck, HPV-associated",Morphology
80856/3,Preferred,1,"Lymphoepithelial carcinoma, HPV-associated",,,,(except of salivary gland M-80822/3),,"Lymphoepithelial carcinoma, HPV-associated (except of salivary gland M-80822/3)",Morphology
80856/3,Synonym,0,"Lymphoepithelioma-like carcinoma, HPV-associated",,,,,,"Lymphoepithelioma-like carcinoma, HPV-associated",Morphology
80857/3,Preferred,1,"Spindle cell/sarcomatoid squamous cell carcinoma, HPV-associated",,,,,,"Spindle cell/sarcomatoid squamous cell carcinoma, HPV-associated",Morphology
80858/3,Preferred,1,"Basaloid squamous cell carcinoma, HPV-associated",,,,,,"Basaloid squamous cell carcinoma, HPV-associated",Morphology
80860/3,Preferred,1,"Squamous cell carcinoma, HPV-independent",,,,,,"Squamous cell carcinoma, HPV-independent",Morphology
80860/3,Synonym,0,"Squamous cell carcinoma, HPV-negative",,,,,,"Squamous cell carcinoma, HPV-negative",Morphology
80860/3,Synonym,0,"Squamous cell carcinoma, p16-negative",,,,,,"Squamous cell carcinoma, p16-negative",Morphology
80861/3,Preferred,1,"Adenosquamous carcinoma, HPV-independent",,,,,,"Adenosquamous carcinoma, HPV-independent",Morphology
80862/3,Preferred,1,"Keratinizing squamous cell carcinoma, HPV-independent",,,,,,"Keratinizing squamous cell carcinoma, HPV-independent",Morphology
80863/3,Preferred,1,"Papillary squamous cell carcinoma, HPV-independent",,,,,,"Papillary squamous cell carcinoma, HPV-independent",Morphology
80864/3,Preferred,1,"Lymphoepithelial carcinoma, HPV-independent",,,,,,"Lymphoepithelial carcinoma, HPV-independent",Morphology
80865/3,Preferred,1,"Spindle cell/sarcomatoid squamous cell carcinoma, HPV-independent",,,,,,"Spindle cell/sarcomatoid squamous cell carcinoma, HPV-independent",Morphology
80866/3,Preferred,1,"Basaloid squamous cell carcinoma, HPV-independent",,,,,,"Basaloid squamous cell carcinoma, HPV-independent",Morphology
80867/3,Preferred,1,"Verrucous carcinoma, HPV-independent",,,,,,"Verrucous carcinoma, HPV-independent",Morphology
80868/3,Preferred,1,"Non-keratinizing squamous cell carcinoma, HPV-independent",,,,,,"Non-keratinizing squamous cell carcinoma, HPV-independent",Morphology
80900/1,Preferred,1,Basal cell tumour,C44._,[obs],,,,Basal cell tumour (C44._) [obs],Morphology
80900/3,Preferred,1,"Basal cell carcinoma, NOS",C44._,,,(except of prostate M-81470/3),,"Basal cell carcinoma, NOS (C44._) (except of prostate M-81470/3)",Morphology
80900/3,Synonym,0,Basal cell epithelioma,C44._,[obs],,,,Basal cell epithelioma (C44._) [obs],Morphology
80900/3,Synonym,0,Rodent ulcer,C44._,[obs],,,,Rodent ulcer (C44._) [obs],Morphology
80901/3,Preferred,1,Pigmented basal cell carcinoma,C44._,,,,,Pigmented basal cell carcinoma (C44._),Morphology
80902/3,Preferred,1,Basal cell carcinoma with adnexal differentiation,C44._,,,,,Basal cell carcinoma with adnexal differentiation (C44._),Morphology
80910/3,Preferred,1,Superficial basal cell carcinoma,C44._,,,,,Superficial basal cell carcinoma (C44._),Morphology
80911/3,Preferred,1,Multifocal superficial basal cell carcinoma,C44._,,,,,Multifocal superficial basal cell carcinoma (C44._),Morphology
80911/3,Synonym,0,Multicentric basal cell carcinoma,C44._,,,,,Multicentric basal cell carcinoma (C44._),Morphology
80920/3,Preferred,1,"Infiltrating basal cell carcinoma, NOS",C44._,,,,,"Infiltrating basal cell carcinoma, NOS (C44._)",Morphology
80921/3,Preferred,1,"Infiltrating basal cell carcinoma, non-sclerosing",C44._,,,,,"Infiltrating basal cell carcinoma, non-sclerosing (C44._)",Morphology
80922/3,Preferred,1,"Basal cell carcinoma, sclerosing/morphoeic",C44._,,,,,"Basal cell carcinoma, sclerosing/morphoeic (C44._)",Morphology
80922/3,Synonym,0,"Infiltrating basal cell carcinoma, sclerosing",C44._,[obs],,,,"Infiltrating basal cell carcinoma, sclerosing (C44._) [obs]",Morphology
80922/3,Synonym,0,"Basal cell carcinoma, morphoeic",C44._,,,,,"Basal cell carcinoma, morphoeic (C44._)",Morphology
80922/3,Synonym,0,"Basal cell carcinoma, desmoplastic type",C44._,,,,,"Basal cell carcinoma, desmoplastic type (C44._)",Morphology
80923/3,Preferred,1,"Basal cell carcinoma, sarcomatoid",C44._,,,,,"Basal cell carcinoma, sarcomatoid (C44._)",Morphology
80923/3,Synonym,0,Basal cell carcinoma with sarcomatoid differentiation,C44._,,,,,Basal cell carcinoma with sarcomatoid differentiation (C44._),Morphology
80930/3,Preferred,1,"Basal cell carcinoma, fibroepithelial",C44._,,,,,"Basal cell carcinoma, fibroepithelial (C44._)",Morphology
80930/3,Synonym,0,"Fibroepithelioma, NOS",,,,,,"Fibroepithelioma, NOS",Morphology
80930/3,Synonym,0,Fibroepithelioma of Pinkus type,,[obs],,,,Fibroepithelioma of Pinkus type [obs],Morphology
80930/3,Synonym,0,"Fibroepithelial basal cell carcinoma, Pinkus type",,[obs],,,,"Fibroepithelial basal cell carcinoma, Pinkus type [obs]",Morphology
80930/3,Synonym,0,Pinkus tumour,,[obs],,,,Pinkus tumour [obs],Morphology
80940/3,Preferred,1,Basosquamous carcinoma,C44._,,,,,Basosquamous carcinoma (C44._),Morphology
80940/3,Synonym,0,Mixed basal-squamous cell carcinoma,C44._,,,,,Mixed basal-squamous cell carcinoma (C44._),Morphology
80950/3,Preferred,1,Metatypical carcinoma,C44._,[obs],,,,Metatypical carcinoma (C44._) [obs],Morphology
80960/0,Preferred,1,Intraepidermal epithelioma of Jadassohn,C44._,[obs],,,,Intraepidermal epithelioma of Jadassohn (C44._) [obs],Morphology
80970/3,Preferred,1,"Basal cell carcinoma, nodular",C44._,,,,,"Basal cell carcinoma, nodular (C44._)",Morphology
80971/3,Preferred,1,"Basal cell carcinoma, micronodular",C44._,,,,,"Basal cell carcinoma, micronodular (C44._)",Morphology
80980/3,Preferred,1,Adenoid basal carcinoma,C53._,,,,,Adenoid basal carcinoma (C53._),Morphology
80980/3,Synonym,0,Adenoid basal epithelioma,C53._,,,,,Adenoid basal epithelioma (C53._),Morphology
80980/3,Synonym,0,Low-grade adenoid basal tumour,C53._,,,,,Low-grade adenoid basal tumour (C53._),Morphology
81000/0,Preferred,1,Trichoepithelioma,C44._,,,,,Trichoepithelioma (C44._),Morphology
81000/0,Synonym,0,Brooke tumour,C44._,[obs],,,,Brooke tumour (C44._) [obs],Morphology
81000/0,Synonym,0,Epithelioma adenoides cysticum,C44._,[obs],,,,Epithelioma adenoides cysticum (C44._) [obs],Morphology
81001/0,Preferred,1,Trichoblastoma,C44._,,,,,Trichoblastoma (C44._),Morphology
81001/0,Synonym,0,Trichoblastic fibroma,C44._,,,,,Trichoblastic fibroma (C44._),Morphology
81002/0,Preferred,1,Trichogerminoma,C44._,,,,,Trichogerminoma (C44._),Morphology
81000/3,Preferred,1,Trichoblastic carcinoma,C44._,,,,,Trichoblastic carcinoma (C44._),Morphology
81001/3,Preferred,1,Trichoblastic carcinosarcoma,C44._,,,,,Trichoblastic carcinosarcoma (C44._),Morphology
81010/0,Preferred,1,Trichofolliculoma,C44._,,,,,Trichofolliculoma (C44._),Morphology
81020/0,Preferred,1,"Trichilemmoma, NOS",C44._,,,,,"Trichilemmoma, NOS (C44._)",Morphology
81021/0,Preferred,1,"Trichilemmoma, desmoplastic",C44._,,,,,"Trichilemmoma, desmoplastic (C44._)",Morphology
81020/3,Preferred,1,Trichilemmal carcinoma,C44._,,,,,Trichilemmal carcinoma (C44._),Morphology
81020/3,Synonym,0,Trichilemmocarcinoma,C44._,,,,,Trichilemmocarcinoma (C44._),Morphology
81020/3,Synonym,0,Tricholemmal carcinoma,C44._,,,,,Tricholemmal carcinoma (C44._),Morphology
81020/3,Synonym,0,Trichilemmomal carcinoma,C44._,,,,,Trichilemmomal carcinoma (C44._),Morphology
81030/0,Preferred,1,Pilar tumour,C44._,,,,,Pilar tumour (C44._),Morphology
81030/1,Preferred,1,Proliferating trichilemmal tumour,C44._,,,,,Proliferating trichilemmal tumour (C44._),Morphology
81030/1,Synonym,0,Proliferating trichilemmal cyst,C44._,[obs],,,,Proliferating trichilemmal cyst (C44._) [obs],Morphology
81030/1,Synonym,0,Proliferating tricholemmal tumour,C44._,,,,,Proliferating tricholemmal tumour (C44._),Morphology
81030/1,Synonym,0,Proliferating pilar tumour,C44._,,,,,Proliferating pilar tumour (C44._),Morphology
81040/0,Preferred,1,Pilar sheath acanthoma,C44._,,,,,Pilar sheath acanthoma (C44._),Morphology
81041/0,Preferred,1,Tumour of follicular infundibulum,C44._,,,,,Tumour of follicular infundibulum (C44._),Morphology
81100/0,Preferred,1,"Pilomatricoma, NOS",C44._,,,,,"Pilomatricoma, NOS (C44._)",Morphology
81100/0,Synonym,0,"Pilomatrixoma, NOS",C44._,,,,,"Pilomatrixoma, NOS (C44._)",Morphology
81100/0,Synonym,0,Calcifying epithelioma of Malherbe,C44._,[obs],,,,Calcifying epithelioma of Malherbe (C44._) [obs],Morphology
81101/0,Preferred,1,Melanocytic matricoma,C44._,,,,,Melanocytic matricoma (C44._),Morphology
81100/3,Preferred,1,Pilomatrical carcinoma,C44._,,,,,Pilomatrical carcinoma (C44._),Morphology
81100/3,Synonym,0,Pilomatrix carcinoma,C44._,,,,,Pilomatrix carcinoma (C44._),Morphology
81100/3,Synonym,0,Matrical carcinoma,C44._,[obs],,,,Matrical carcinoma (C44._) [obs],Morphology
81100/3,Synonym,0,"Pilomatricoma, malignant",C44._,[obs],,,,"Pilomatricoma, malignant (C44._) [obs]",Morphology
81100/3,Synonym,0,"Pilomatrixoma, malignant",C44._,[obs],,,,"Pilomatrixoma, malignant (C44._) [obs]",Morphology
